label,from_date,to_date,n_transcripts
24dash,2006-12-22,2012-04-16,43652
A World to Win blogs,2012-01-06,2014-09-29,1549
Agra-net.com,2007-03-28,2014-03-21,14391
Al-Sharq al-Awsat,2006-04-22,2013-02-26,35672
Alliance for Workers' Liberty,2003-01-27,2014-07-08,1781
Ananova,2007-04-15,2012-09-24,86893
Andover Advertiser,2007-03-28,2014-08-25,7540
Ayrshire Post,2007-03-16,2013-06-30,9202
BBC News,2003-02-18,2015-02-04,120772
Bakery and Snacks,2007-07-17,2013-08-07,3807
Ballyclare Gazette,2009-06-25,2014-01-16,1246
Ballymena Times,2007-12-04,2012-07-05,4338
Ballymoney Today,2005-12-02,2011-02-09,25633
Banbridge Leader,2006-01-19,2012-07-05,34811
Banbury Guardian,2007-01-09,2013-06-27,37290
Barking and Dagenham Post,2005-09-07,2010-09-23,6193
Barnet Times,2007-07-25,2011-12-13,33555
Barnsley Chronicle,2007-01-12,2013-02-03,3978
Basingstoke Gazette,2006-05-19,2014-07-12,25255
Beccles and Bungay Journal,2007-03-09,2010-09-27,5986
Bedford Times and Citizen,2004-05-17,2013-06-28,24715
Belfast Media,2007-05-04,2011-09-15,45231
Belfast Telegraph,2005-08-06,2013-06-04,263918
Belfast Today,2007-06-12,2012-07-04,3584
Berwick Today,2006-07-25,2012-07-09,6696
Bexhill Observer,2007-10-26,2013-06-22,18234
Birmingham Mail,2008-06-19,2014-07-08,80567
Bishop's Stortford Citizen,2007-03-20,2009-01-23,20120
Blackburn Citizen,2007-01-09,2014-05-23,36210
Blackpool Citizen,2006-03-09,2014-06-18,11621
Blackpool Today,2007-03-06,2011-01-12,13362
Bognor Today,2007-09-03,2015-02-04,21769
Bolton News,2007-03-21,2014-04-11,92852
Border Telegraph,2005-09-20,2013-01-09,1770
Borehamwood and Elstree Times,2007-03-22,2014-07-08,67130
Boston Standard,2005-02-09,2012-07-04,12871
Bournemouth Daily Echo,2011-12-30,2014-04-02,7350
Bracknell Times,2006-09-26,2013-06-11,10033
Bradford Telegraph & Argus,2012-05-04,2014-05-23,15105
Brechin Today,2005-09-29,2012-07-08,18950
Brighton Evening Argus,2010-05-01,2014-09-06,9108
Bromley Times,2007-08-23,2010-12-03,2829
Buckingham Today,2006-05-19,2012-02-26,44622
Bucks Free Press,2012-01-01,2014-07-08,6195
Bucks Herald,2004-03-31,2013-06-27,13226
Burnley Express,2005-10-21,2012-07-03,11175
Bury Free Press,2007-03-06,2013-06-24,15140
Bury Times,2007-02-17,2014-07-12,46248
Business Weekly - UK,2008-06-13,2011-01-10,1485
Buxton Advertiser,2007-04-12,2012-07-03,118757
Cambridge Evening News,2003-09-30,2012-09-17,39484
Cambs Times,2007-03-16,2014-07-08,12758
Chard & Ilminster News,2007-06-03,2014-05-23,12669
Cheshire Online,2004-02-19,2013-06-27,54587
Chester Evening Leader,2007-01-09,2009-07-17,2201
Chester Standard,2007-03-16,2013-06-20,25986
Chichester Observer,2007-07-19,2012-07-05,25994
Chingford Guardian,2007-03-16,2008-07-17,5883
Chorley Citizen,2006-10-01,2014-07-07,20925
Clitheroe Today,2009-05-09,2011-02-16,2919
Colchester Daily Gazette,2008-07-23,2015-02-04,28158
Cornish Guardian,2009-04-10,2014-03-18,16971
Country Life,2006-02-03,2012-03-26,2825
County Times,2007-03-13,2013-06-10,1590
Coventry Telegraph,2007-05-02,2013-06-27,24206
Crawley Observer,2007-03-27,2013-06-27,15810
Croydon Guardian,2007-03-16,2014-08-25,19321
Cumberland & Westmorland Herald,2007-02-02,2013-06-27,2134
Daily Express,2007-01-09,2013-02-06,19656
Daily Post,2007-01-09,2015-02-04,66240
Daily Record,2007-05-01,2012-07-31,51530
Darlington & Stockton Times,2007-03-16,2014-05-23,22180
Derby Evening Telegraph,2011-12-30,2013-08-31,21609
Derbyshire Times,2008-03-28,2012-07-04,4600
Derry Journal,2009-06-25,2013-06-22,3218
Diss Mercury,2007-11-08,2014-10-09,4089
Doncaster Free Press,2006-11-23,2012-07-02,9354
Donegal News,2007-02-23,2007-12-21,2426
Driffield Times & Post,2006-09-11,2013-07-01,6437
Dromore Leader,2006-02-23,2013-06-23,1700
Dunmow Broadcast,2012-04-03,2014-11-11,1237
EUbusiness,2012-01-01,2014-07-08,6505
Ealing Times,2007-03-16,2014-05-23,4339
East Anglian Daily Times,2007-03-16,2009-12-31,18578
East Lothian Courier,2007-01-11,2014-04-02,5248
Eastbourne Herald,2007-01-20,2009-12-31,9833
Eastern Daily Press,2007-03-16,2014-07-08,27908
Eastwood Advertiser,2005-02-18,2013-06-30,19548
Echo - Essex News and Sports,2007-03-16,2014-08-25,26522
Edgware & Mill Hill Times,2005-11-17,2012-08-31,14259
Ely Standard,2007-03-16,2014-11-12,5511
Environmental Agency UK,2008-10-05,2014-03-28,1514
Epping Forest Guardian,2007-03-16,2008-07-17,5849
Epsom Guardian,2007-03-16,2014-05-22,12412
Essex Chronicle,2009-03-03,2013-12-11,7225
Evening Gazette,2007-03-18,2008-07-17,11605
Evening Star (Ipswich),2006-11-22,2015-02-04,40262
Evening Telegraph,2007-03-27,2012-02-21,5846
Express and Star,2008-04-21,2015-02-04,30510
Farmers Guardian,2007-08-28,2015-02-04,19275
Farmers Weekly Interactive,2006-02-20,2014-07-04,24106
Farming UK,2009-03-10,2014-12-11,6405
Food Naviagtor,2007-03-26,2009-12-23,2846
Food Navigator,2007-07-30,2015-02-04,5923
Fruit Net (UK & Germany),2009-12-09,2012-10-24,1653
Gazette & Herald,2007-10-11,2014-05-23,12849
Gazette Live,2005-10-18,2013-04-29,19382
Glasgow Evening Times,2007-08-21,2013-06-27,7032
Gloucestershire County Gazette,2007-09-08,2013-02-03,3425
Google News,2010-03-27,2015-02-04,7471
Grantham Today,2007-05-01,2013-06-18,13578
Great Yarmouth Mercury 24,2008-03-20,2009-12-31,7010
Grimsby Telegraph,2012-01-01,2013-08-31,3331
Guardian Series,2008-07-23,2014-08-25,91419
Hackney Gazette,2005-09-21,2013-01-14,4399
Hampshire Chronicle,2006-05-26,2014-07-08,13456
Hampstead and Highgate Express,2007-02-01,2015-02-04,3786
Harborough Mail,2007-03-16,2013-08-01,4551
Haringey Independent,2003-07-30,2012-08-31,6300
Harlow Citizen,2007-03-17,2008-12-11,1862
Harrow Times,2004-01-14,2014-07-08,14132
Hartlepool Mail,2003-10-21,2013-05-21,35403
Hemel Today,2006-12-08,2013-06-19,19242
"Hendon & Finchley, Barnet & Potters bar, and Edgeware & Mills hill Times",2007-07-25,2014-05-23,3155
Herald and Post,2007-03-16,2009-12-31,26902
Hertferdshire Mercury,2007-08-28,2014-07-08,11072
Hexham Courant,2006-09-08,2015-02-03,5518
Highland News,2007-03-15,2014-05-22,4900
Hillingdon Times,2007-03-15,2012-02-22,6198
Horncastle News,2003-04-23,2013-08-30,36426
Horticulture Week,2012-01-03,2012-10-23,1277
Hucknall Dispatch,2007-03-13,2013-08-31,7450
Hull Daily Mail,2012-01-02,2013-08-30,18489
Hunts Post,2007-03-16,2014-11-25,5375
IC Newcastle,2006-08-24,2013-02-12,34137
IC Teesside,2006-10-23,2009-12-31,7586
ITN News,2007-03-15,2009-12-31,37944
Ilford Recorder,2007-02-21,2014-10-27,5925
Ilkeston Advertiser,2003-07-24,2013-08-31,5353
Ilkley Gazette,2007-01-10,2012-08-31,5640
Impartial Reporter,2011-12-29,2013-01-09,1981
In The News,2006-10-29,2012-12-11,36422
Inspire Magazine,2007-10-10,2012-05-01,2461
Insurance Insight,2012-10-05,2013-12-09,1289
International Business Times,2008-04-28,2015-02-04,85135
Isle of Wight County Press,2007-10-11,2014-09-14,13338
Journal Live,2007-09-16,2013-06-27,20003
Kenilworth Weekly News,2008-01-07,2013-08-07,8798
Kingston Guardian,2007-03-16,2014-08-25,12284
Lancashire Evening Post,2006-12-13,2014-04-02,40491
Lancashire Evening Telegraph,2010-07-09,2014-05-03,7987
Lancashire Telegraph,2004-03-23,2014-07-08,64429
Leamington Observer,2008-01-31,2015-02-04,2397
Leicester Mercury,2009-09-08,2013-09-01,20944
Leicester Sound,2007-03-28,2008-09-30,1855
Leigh Journal,2006-05-09,2014-08-25,19456
Lincolnshire Echo,2012-01-01,2013-12-17,11839
Lisburn Today,2006-02-17,2009-12-31,9319
Liverpool Daily Post,2007-01-09,2009-12-31,39071
Liverpool Echo,2007-06-26,2013-03-11,33691
Local London,2008-02-04,2014-07-12,13305
London Turkish Gazette,2008-10-05,2012-05-10,1190
Louth Leader,2007-03-08,2013-08-09,35502
Lurgan Mail,2005-12-29,2013-08-30,5980
Luton News Herald and Post,2012-01-01,2012-07-04,1526
Lynn News,2007-03-09,2012-07-04,4211
Manchester Evening News,2003-01-22,2013-01-23,35909
Mansfield Today,2007-03-16,2007-08-22,7490
Mansfield and Ashfield Chad,2007-04-01,2015-01-27,5797
Matlock Mercury,2006-06-07,2013-08-30,3311
Melton Times,2006-11-09,2013-12-13,5890
Metro - London,2007-03-15,2015-02-04,43471
Morning Star Online,2007-01-09,2013-08-29,9942
Morpeth Herald,2006-12-07,2013-08-05,3434
Newbury Today,2005-05-31,2014-09-15,5638
Newham Recorder,2007-01-04,2014-10-27,5246
Newry Democrat,2003-01-02,2014-07-08,1948
News & Star,2004-07-16,2014-09-05,32852
News Guardian,2013-01-06,2013-06-27,1561
News Post Leader,2007-03-22,2013-06-29,12058
News Shopper,2007-03-16,2014-07-08,10184
News Wales,2007-03-13,2012-06-03,2688
NewsNet Scotland,2011-07-22,2014-09-18,4954
North Tyneside Today,2007-03-21,2007-12-31,2140
North Wales Chronicle,2007-03-02,2014-09-15,4874
North-West Evening Mail,2007-03-22,2015-02-03,9273
Northampton Chronicle & Echo,2007-03-16,2015-02-04,19851
Northamptonshire Evening Telegraph,2007-03-16,2012-05-30,3341
Northern Ireland Executive,2012-01-11,2015-02-04,5630
Northumberland Gazette,2007-04-30,2013-08-04,5219
Norwich Evening News 24,2007-01-15,2015-02-04,33174
Nottingham Post,2012-01-01,2013-08-31,23000
Ongar Guardian,2007-03-16,2008-01-01,2980
Open Democracy,2007-11-21,2012-06-25,1031
Ormskirk Advertiser,2004-08-11,2014-03-26,7496
Oxford Mail,2006-03-20,2015-02-04,47232
PR Newswire,2007-10-12,2013-08-13,5603
Paisley Daily Express,2007-08-21,2012-12-18,18870
Pendle Today,2006-06-02,2012-07-03,10778
Peterborough Evening Telegraph,2007-02-15,2013-05-09,20896
Petersfield Post,2004-08-04,2014-01-24,5353
Plymouth Herald,2012-06-07,2013-08-31,3350
Preston Citizen,2006-01-10,2014-08-23,2677
Reading Post,2007-07-18,2015-02-03,18122
Redhill and Reigate Life,2007-03-16,2015-01-27,3209
Retford Guardian,2006-11-23,2013-08-31,4441
Reuters AlertNet,2006-10-13,2013-04-23,91444
Richmond and Twickenham Times,2007-03-16,2014-08-25,5695
Ripley & Heanor News,2007-06-26,2013-08-30,3319
Rochdale Observer,2005-06-13,2013-01-19,1921
Romsey Advertiser,2006-06-23,2014-08-22,2242
Royston Crow,2007-03-07,2015-02-03,5859
Rutland News,2007-03-15,2007-12-26,1341
Rutland Times,2007-03-27,2013-08-26,8563
Saffron Walden Reporter,2007-03-07,2014-11-11,3920
Sale & Altrincham Messenger,2007-03-22,2014-05-23,5606
Scotsman,2004-03-07,2013-06-20,46782
Scunthorpe Telegraph,2012-01-01,2013-08-31,9194
Sheffield Today,2006-09-10,2012-07-04,13699
Skegness Today,2007-01-18,2007-12-31,4168
SkyNews,2003-01-23,2014-05-23,23848
Slough & South Bucks Observer,2012-01-01,2013-06-30,2514
Somerset County Gazette,2012-01-01,2014-09-09,5015
South London Press,2007-03-12,2008-04-08,7848
South Wales Argus,2007-03-15,2012-02-22,3698
South Wales Evening Post,2013-01-01,2015-02-04,11987
Southern Daily Echo,2006-03-11,2014-09-12,68458
Spalding Guardian,2011-12-11,2013-06-20,4328
Spalding Today,2007-03-13,2009-12-31,8977
St Albans Observer,2007-03-19,2007-12-31,2083
Stamford Mercury,2012-01-01,2012-07-04,1584
Streatham Guardian,2007-03-16,2012-02-21,4323
Sunderland Echo,2007-01-10,2012-07-03,10314
Surrey Advertiser,2008-05-30,2013-01-11,4987
Sutton Guardian,2007-03-16,2014-07-08,7506
Telegraph UK,2013-05-23,2013-11-05,1469
The Bath Chronicle,2012-01-01,2013-09-02,10451
The Berwickshire News,2003-09-11,2013-06-27,16258
The Courier & Advertiser,2012-01-02,2012-12-11,2646
The Cumberland News,2003-08-08,2012-01-28,9935
The Daily Mail,2008-03-24,2014-05-23,206248
The Daily Star,2009-12-10,2013-07-01,21220
The Daily Telegraph,2003-02-20,2015-02-04,348815
The Guardian,2003-01-12,2014-10-27,75919
The Guardian Europe,2012-05-09,2014-09-15,17261
The Herald (Scotland),2011-12-31,2015-02-04,38077
The Huddersfield Daily Examiner,2007-05-05,2009-12-31,19065
The Independent UK,2007-01-10,2013-06-30,129168
The Northern Echo,2011-12-31,2012-08-30,8597
The Pig Site - UK,2011-12-29,2012-05-11,1079
The Press (York),2006-05-03,2014-04-01,14212
The Press and Journal,2012-01-02,2014-05-21,4961
The Reading Chronicle,2007-04-01,2013-01-01,7491
The Scotsman,2012-02-08,2013-07-01,25745
This Is Exeter,2012-01-02,2013-08-30,14937
This Is Gloucestershire,2011-12-31,2013-12-05,28886
This is Cheshire,2012-01-01,2014-09-04,4804
Times & Star,2011-12-23,2015-02-03,1553
Tyrone Times,2007-05-31,2013-08-30,3680
UK Uncut on Twitter,2012-01-04,2012-05-23,2492
Wandsworth Guardian,2012-01-01,2012-08-31,8648
West Sussex County Times,2007-08-10,2013-06-10,4078
Western Mail,2007-03-22,2013-04-09,75704
Wharf,2007-03-18,2015-02-05,5126
Wiltshire News / This Is Wiltshire,2012-01-02,2015-02-04,16537
Wirral Globe,2012-01-01,2014-08-25,2466
Wisbech Standard,2011-12-30,2014-11-19,5106
Wokingham Times,2006-01-09,2013-06-10,10927
Worcester News,2012-01-01,2014-07-08,9960
Worksop Guardian,2011-12-28,2013-08-23,3850
World Nuclear News,2012-01-03,2014-08-27,1041
Worthing Herald,2011-12-06,2015-02-04,3096
Yorkshire Evening Post,2011-08-23,2013-06-06,19815
Yorkshire Post,2013-01-15,2013-06-05,1012
Your Local Guardian,2007-02-14,2014-01-10,9157
enfieldindependent.co.uk,2003-05-13,2014-05-08,5650
