domain,sourceName,count,groupby_label
asharq-e.com,Al-Sharq al-Awsat,1642,1
asharq-e.com,Asharq Al-Awsat,2760,1
asharq-e.com,Asharq Alawsatt,16649,1
bakeryandsnacks.com,Bakery and Snacks,3808,2
bakeryandsnacks.com,Food Navigator,18,2
ballymenatimes.com,Ballymena Times,929,3
ballymenatimes.com,Ballymena Today,3378,3
banbridgeleader.co.uk,Banbridge Leader,1255,4
banbridgeleader.co.uk,Banbridge Today,32894,4
barnsley-chronicle.co.uk,Barnesley Chronicle,3000,5
barnsley-chronicle.co.uk,Barnsley Chronicle,976,5
basingstokegazette.co.uk,Basingstoke Gazette,19807,6
basingstokegazette.co.uk,Basingstoke Gazette (dup?),5368,6
bbc.co.uk,BBC - Leicester News,4119,7
bbc.co.uk,BBC News - UK,2185,8
bbc.co.uk,BBC News Europe,105093,9
bbc.co.uk,GFM Radio,4752,10
bbc.co.uk,Manchester Evening News,1,11
bbc.co.uk,Ulster Defence League on Facebook,1,12
bedfordtoday.co.uk,Bedford Times and Citizen,22241,13
bedfordtoday.co.uk,Bedford Today,2222,13
belfastmedia.com,Andersontown News,1880,14
belfastmedia.com,Belfast Media,4678,14
berwick-advertiser.co.uk,Berwick Advertiser,951,15
berwick-advertiser.co.uk,Berwick Today,3603,15
bexhillobserver.net,Bexhill Observer,8466,16
bexhillobserver.net,Bexhill Observer  (dup),18,16
bexhillobserver.net,Bexhill Today,9576,16
bognor.co.uk,Bognor Regis Observer,2517,17
bognor.co.uk,Bognor Today,18531,17
borehamwoodtimes.co.uk,Borehamwood & Elstree Times,2725,18
borehamwoodtimes.co.uk,Borehamwood and Elstree Times,64256,18
bostonstandard.co.uk,Boston Standard,1399,19
bostonstandard.co.uk,Boston Today,11382,19
brechinadvertiser.co.uk,Brechin Advertiser,680,20
brechinadvertiser.co.uk,Brechin Today,17778,20
buckinghamtoday.co.uk,Bicester Advertiser and Review,636,21
buckinghamtoday.co.uk,Buckingham Today,43623,21
burnleyexpress.net,Burnley Express,1118,22
burnleyexpress.net,Burnley Today,9961,22
buryfreepress.co.uk,Bury Free Press,3110,23
buryfreepress.co.uk,Bury St Edmunds Today,11952,23
cambridge-news.co.uk,Cambridge Evening News,36777,24
cambridge-news.co.uk,Cambridge News,2044,24
cambstimes.co.uk,Cambs Times,4597,25
cambstimes.co.uk,Cambs times,8119,25
chad.co.uk,Mansfield Today,2164,26
chad.co.uk,Mansfield and Ashfield Chad,2560,26
chad.co.uk,Mansfield and Ashfield Chad (dup?),246,26
chesterfirst.co.uk,Chester Evening Leader,3884,27
chesterfirst.co.uk,Chester First,1146,27
chesterfirst.co.uk,Chester Standard,4615,27
chesterfirst.co.uk,Chester Standard and Leader,1358,27
chesterstandard.co.uk,Chester Standard,14850,27
chesterstandard.co.uk,Matlock Mercury,39,27
citizen-series.co.uk,Bishop's Stortford Citizen,12256,28
citizen-series.co.uk,Harlow Citizen,224,28
crawleyobserver.co.uk,Bexhill Today,793,29
crawleyobserver.co.uk,Crawley Observer,11952,29
dailyecho.co.uk,Local London,1,30
dailyecho.co.uk,Southern Daily Echo,59756,30
dailyecho.co.uk,Southern Daily Echo - This is Hampshire,3059,30
driffieldtoday.co.uk,Driffield Times & Post,1003,31
driffieldtoday.co.uk,Driffield Today,5435,31
dromoreleader.co.uk,Dromore Leader,170,32
dromoreleader.co.uk,Dromore Today,1510,32
eastwoodadvertiser.co.uk,Eastwood Advertiser,1251,33
eastwoodadvertiser.co.uk,Eastwood Today,18271,33
edp24.co.uk,Eastern Daily Press,27817,34
edp24.co.uk,Norwich Evening News 24,2,34
enfieldindependent.co.uk,Enfield Independent,5552,35
enfieldindependent.co.uk,Local London,2,35
epsomguardian.co.uk,Epsom Guardian,12440,36
epsomguardian.co.uk,Local London,1,36
eveningnews24.co.uk,Ely Standard,3,37
eveningnews24.co.uk,Norwich Evening News 24,32718,37
eveningstar.co.uk,Evening Star (Ipswich),147,38
eveningstar.co.uk,Evening Star 24,30040,38
facebook.com,Campaign for Nuclear Disarmament (CND) Facebook,42,39
facebook.com,LRUSGSLPM on Facebook,27,40
facebook.com,League for the Fifth International on Facebook,26,41
facebook.com,Liverpool Division English Defence League on Facebook,171,42
facebook.com,Look Left Magazine on Facebook,112,43
facebook.com,Muslim Defence League on Facebook,262,44
facebook.com,Occupy London on Facebook,146,45
facebook.com,Sinn Fein,40,46
facebook.com,Socialist Worker (Britain) on Facebook,192,47
facebook.com,The Irish Republican Socialist Party,49,48
facebook.com,Ulster Defence League on Facebook,148,49
facebook.com,Unite Against Fascism on Facebook,90,50
farmersguardian.com,Farmers Guardian,15895,51
farmersguardian.com,The Farmers Guardian,3188,51
feedsportal.com,Bedford Today,256,52
feedsportal.com,Belfast Telegraph,121908,53
feedsportal.com,Bexhill Observer,137,54
feedsportal.com,Bognor Regis Observer,321,55
feedsportal.com,Bucks Herald,1419,56
feedsportal.com,Country Life,756,57
feedsportal.com,Crawley Observer,3007,58
feedsportal.com,Daily Express,321,59
feedsportal.com,Derry Journal,603,60
feedsportal.com,Derry Journal (dup?),181,61
feedsportal.com,Grantham Today,679,62
feedsportal.com,Harborough Mail,270,63
feedsportal.com,Hemel Hempstead Today,2488,64
feedsportal.com,Hucknall Dispatch,97,65
feedsportal.com,Hucknall Dispatch (dup?),197,66
feedsportal.com,ITN News,3446,67
feedsportal.com,Ilkeston Advertiser,1895,68
feedsportal.com,Kenilworth Weekly News,190,69
feedsportal.com,Lancashire Evening Post,6936,70
feedsportal.com,Louth Leader,1730,71
feedsportal.com,Mansfield and Ashfield Chad,815,72
feedsportal.com,Matlock Mercury,174,73
feedsportal.com,Melton Times,483,74
feedsportal.com,Mid Sussex Times,442,75
feedsportal.com,Morpeth Herald,1933,76
feedsportal.com,News Guardian,1563,77
feedsportal.com,News Post Leader,86,78
feedsportal.com,Northampton Chronicle & Echo,6262,79
feedsportal.com,Ripley & Heanor News,1800,80
feedsportal.com,Rutland Times,367,81
feedsportal.com,Rye and Battle Observer,287,82
feedsportal.com,Spalding Guardian,3254,83
feedsportal.com,Telegraph UK,1464,84
feedsportal.com,The Buchanan Observer,838,85
feedsportal.com,The Daily Telegraph,172921,86
feedsportal.com,The Daily Telegraph (dup),61844,87
feedsportal.com,The Independent UK,28462,88
feedsportal.com,The Press (York),1689,89
feedsportal.com,The Scotsman,14893,90
feedsportal.com,West Sussex County Times,2573,91
feedsportal.com,Worksop Guardian,2682,92
feedsportal.com,Worthing Herald,180,93
feedsportal.com,Yorkshire Post,1019,94
foodnavigator.com,Food Naviagtor,2846,95
foodnavigator.com,Food Navigator,3153,96
foodqualitynews.com,Food Navigator,60,97
foodqualitynews.com,Food Quality News,2578,97
fwi.co.uk,Farmer''s Weekly Special Reports,3273,98
fwi.co.uk,Farmer's Weekly Special Reports,2576,98
fwi.co.uk,Farmers Weekly Interactive,18075,98
gazette-news.co.uk,Colchester Daily Gazette,13576,99
gazette-news.co.uk,Evening Gazette,13940,99
gazettelive.co.uk,Gazette Live,19327,100
gazettelive.co.uk,ic Teesside,7590,100
gazetteseries.co.uk,Gazette,2771,101
gazetteseries.co.uk,Gloucestershire County Gazette,654,101
getbracknell.co.uk,Bracknell Forest Standard,4815,102
getbracknell.co.uk,Bracknell Times,5249,102
getreading.co.uk,Reading Evening Post,10168,103
getreading.co.uk,Reading Post,7940,103
getsurrey.co.uk,Surrey Advertiser,4421,104
getsurrey.co.uk,Woking News and Mail,566,104
google.com,Aberdeen Independent,187,105
google.com,British Foreign & Commonwealth Office (FCO),219,106
google.com,Country Life,315,107
google.com,International Business Times,94,108
google.com,International Business Times UK,169,109
google.com,Lionheart [Paul Ray] Blog,18,110
google.com,Meat Info,1857,111
google.com,Pink News,4561,112
guardian-series.co.uk,Bishop's Stortford Citizen,53810,113
guardian-series.co.uk,Chingford Guardian,16145,114
guardian-series.co.uk,Epping Forest Guardian,4801,115
guardian-series.co.uk,Guardian Series,5588,116
guardian-series.co.uk,Harlow Citizen,457,117
guardian-series.co.uk,Harlow Citizen and Guardian,3011,118
guardian-series.co.uk,Local London,9,119
guardian-series.co.uk,Waltham Forest Guardian,4386,120
guardian-series.co.uk,Waltham Forest Guardian (dup?),2037,121
guardian-series.co.uk,Wanstead and Woodford Guardian,1096,122
guardian.co.uk,The Guardian,67096,123
guardian.co.uk,The Guardian Europe,2847,124
guardian.co.uk,The Guardian UK,2229,125
haringeyindependent.co.uk,Enfield Independent,3362,126
haringeyindependent.co.uk,Haringey Independent,2964,126
harrowtimes.co.uk,Harrow Times,12786,127
harrowtimes.co.uk,Hillingdon Times,1073,127
hartlepoolmail.co.uk,Hartle Pool Mail,17010,128
hartlepoolmail.co.uk,Hartlepool Mail,18301,128
hemeltoday.co.uk,Hemel Hempstead Today,9003,129
hemeltoday.co.uk,Hemel Today,7594,129
heraldscotland.com,Herald Scotland Breaking News,21567,130
heraldscotland.com,The Herald (Scotland),15979,130
hertsandessexobserver.co.uk,Harlow Star,4660,131
hertsandessexobserver.co.uk,Hertferdshire Mercury,3142,131
hertsandessexobserver.co.uk,Herts and Essex Observer,3300,131
hillingdontimes.co.uk,Hillingdon & Uxbridge Times,89,132
hillingdontimes.co.uk,Hillingdon Times,6110,132
hucknalldispatch.co.uk,Hucknall Dispatch,1413,133
hucknalldispatch.co.uk,Hucknall Dispatch (dup?),3,133
hucknalldispatch.co.uk,Hucknall Today,3020,133
ibtimes.com,International Business Times,47617,134
ibtimes.com,International Business Times UK,35234,135
icnetwork.co.uk,Ayrshire Post,474,136
icnetwork.co.uk,Cheshire Online,54602,137
icnetwork.co.uk,Coventry Telegraph,11642,138
icnetwork.co.uk,IC Newcastle,31578,139
icnetwork.co.uk,Liverpool Daily Post,39074,140
icnetwork.co.uk,Liverpool Echo,11922,141
icnetwork.co.uk,Maidenhead Express,514,142
icnetwork.co.uk,Ormskirk Advertiser,2087,143
icnetwork.co.uk,Paisley Daily Express,410,144
icnetwork.co.uk,South London Press,7853,145
icnetwork.co.uk,The Huddersfield Daily Examiner,4589,146
icnetwork.co.uk,The Reading Chronicle,862,147
icnetwork.co.uk,Western Mail,26647,148
icnetwork.co.uk,Wharf,1004,149
journallive.co.uk,IC Newcastle,525,150
journallive.co.uk,Journal Live,19947,151
kenilworthweeklynews.co.uk,Kenilworth Today,7644,152
kenilworthweeklynews.co.uk,Kenilworth Weekly News,956,152
lisburntoday.co.uk,Lisburn Today,9288,153
lisburntoday.co.uk,Ulster Star,499,153
lurganmail.co.uk,Lurgan Mail,3720,154
lurganmail.co.uk,Lurgan Today,2159,154
lutontoday.co.uk,Herald and Post,26643,155
lutontoday.co.uk,Luton News Herald and Post,1526,155
manchestereveningnews.co.uk,Manchester Evening News,17723,156
manchestereveningnews.co.uk,Manchester Online,4973,156
menmedia.co.uk,Macclesfield Express,498,157
menmedia.co.uk,Manchester Evening News,389,158
menmedia.co.uk,Manchester Online,12576,158
menmedia.co.uk,Rochdale Observer,502,159
menmedia.co.uk,Salford Advertiser,348,160
menmedia.co.uk,South Manchester Reporter,262,161
menmedia.co.uk,Stockport Express,551,162
menmedia.co.uk,Wilmslow Express,111,163
metro.co.uk,Metro,14088,164
metro.co.uk,Metro - London,29047,165
morningstaronline.co.uk,Morning Star,8475,166
morningstaronline.co.uk,Morning Star Online,1368,166
newsandstar.co.uk,News & Star,18128,167
newsandstar.co.uk,The Cumberland News,14434,167
newsshopper.co.uk,Local London,1,168
newsshopper.co.uk,News Shopper,10177,168
northamptonchron.co.uk,Northampton Chronicle,3387,169
northamptonchron.co.uk,Northampton Chronicle & Echo,886,169
northamptonchron.co.uk,Northampton Chronicle and Echo,5714,169
northantset.co.uk,Northamptonshire Evening Telegraph,2059,170
northantset.co.uk,Northants Evening Telegraph,1280,170
nwemail.co.uk,North-West Evening Mail,9201,171
nwemail.co.uk,The Cumberland News,1,171
nwipp-newspapers.com,Donegal News,2125,172
nwipp-newspapers.com,Starbane Chronicle,611,172
nwipp-newspapers.com,Ulster Herald,622,172
opendemocracy.net,Open Democracy,1023,173
opendemocracy.net,Open Democracy Blog,8,173
orange.co.uk,Ananova,24236,174
orange.co.uk,Ananova - Orange News,7996,174
osadvertiser.co.uk,Ormskirk & Skelmersdale Advertiser,4602,175
osadvertiser.co.uk,Ormskirk Advertiser,795,175
redhillandreigatelife.co.uk,Bradford Telegraph & Argus,79,176
redhillandreigatelife.co.uk,Redhill and Reigate Life,3127,176
retfordtoday.co.uk,Retford Guardian,742,177
retfordtoday.co.uk,Retford Trader & Guardian,3667,177
rutland-times.co.uk,Rutland Times,7906,178
rutland-times.co.uk,Rutland Times (dup?),282,178
scotsman.com,Scotsman,46669,179
scotsman.com,The Scotsman,10849,179
sloughobserver.co.uk,Slough & South Bucks Observer,2508,180
sloughobserver.co.uk,Slough & Windsor Observer,568,180
suttonguardian.co.uk,Local London,4,181
suttonguardian.co.uk,Sutton Guardian,7491,181
telegraph.co.uk,London Daily Telegraph,11045,182
telegraph.co.uk,Telegraph UK,3929,182
telegraph.co.uk,The Daily Telegraph,95990,182
theboltonnews.co.uk,Bolton News,67925,183
theboltonnews.co.uk,Bury Times,8,183
theguardian.com,The Guardian,3977,123
theguardian.com,The Guardian Europe,14421,124
thisislincolnshire.co.uk,Farmers Guardian,1,184
thisislincolnshire.co.uk,Lincolnshire Echo,11866,184
times-series.co.uk,Barnet Times,33412,185
times-series.co.uk,Edgware & Mill Hill Times,13005,186
times-series.co.uk,"Hendon & Finchley, Barnet & Potters bar, and Edgeware & Mills hill Times",3180,187
timesandstar.co.uk,The Cumberland News,1,188
timesandstar.co.uk,Times & Star,1524,189
trust.org,Alert Net,15135,189
trust.org,Reuters AlertNet,8561,190
twitter.com,@W_Nuclear_News,428,191
twitter.com,Campaign for Nuclear Disarmament (CND) Twitter,334,192
twitter.com,Look Left Mag on Twitter,177,193
twitter.com,UK Uncut on Twitter,2491,194
twitter.com,Unite Against Fascism on Twitter,312,195
tyronetimes.co.uk,Ilkeston Advertiser,1,196
tyronetimes.co.uk,Tyrone Times,3689,196
wscountytimes.co.uk,Banbury Guardian,642,197
wscountytimes.co.uk,West Sussex County Times,851,198
yourlocalguardian.co.uk,Epsom Guardian,3002,199
yourlocalguardian.co.uk,Guardian Local,3023,200
yourlocalguardian.co.uk,Kingston Guardian,2964,201
yourlocalguardian.co.uk,Wimbledon Guardian,210,202
